name,firm,cik,status
PARK PRESIDIO CAPITAL,PARK PRESIDIO CAPITAL,0001596510,resolved
PECONIC PARTNERS,PECONIC PARTNERS,0001050464,resolved
PH&N Vintage Fund,RBC Global Asset Management,0001179454,resolved
PPSC Investment Service Corp,PPSC Investment Service Corp,0001964389,resolved
PRIMECAP Management,PRIMECAP Management,0000763212,resolved
PROVIDENT TRUST CO,PROVIDENT TRUST CO,0001140436,resolved
Palestra Capital Management,Palestra Capital Management,0001568788,resolved
Paradigm Biocapital Advisors,Paradigm Biocapital Advisors,0001855655,resolved
Park West Asset Management,Park West Asset Management,0001386928,resolved
Parnassus Value Equity Fund,Parnassus Investments,0000747546,resolved
Parsifal Capital Management,Parsifal Capital Management,0001776090,resolved
Partners Group Holding AG,Partners Group Holding AG,0001534259,resolved
Patient Capital Management,Patient Capital Management,0001854794,resolved
Paul Singer,Elliott Investment Management,0001791786,resolved
Paul Tudor Jones,Tudor Investment Corp,0000923093,resolved
Pertento Partners,Pertento Partners,0001894571,resolved
Philippe Laffont,Coatue Management,0001135730,resolved
Philosophy Capital Management,Philosophy Capital Management,0001869199,resolved
Pine Ridge Advisers,Pine Ridge Advisers,0001845915,resolved
PineStone Asset Management Inc.,PineStone Asset Management Inc.,0001904893,resolved
Prem Watsa,Fairfax Financial Holdings,0000915191,resolved
Private Capital Management,Private Capital Management,0000897226,resolved
"Progeny 3, Inc.","Progeny 3, Inc.",0001536006,resolved
Pureheart Capital Pte,Pureheart Capital Pte,0002087977,resolved
RBC Canadian Equity Income Fund,RBC Global Asset Management,0001218696,resolved
RDST Capital,RDST Capital,0001912187,resolved
RGM Capital,RGM Capital,0001323953,resolved
"RK Capital Management, LLC/FL","RK Capital Management, LLC/FL",0001905218,resolved
"RPOA Advisors, Inc.","RPOA Advisors, Inc.",0001963326,resolved
RUSH ISLAND MANAGEMENT,RUSH ISLAND MANAGEMENT,0001736465,resolved
"RWWM, Inc.","RWWM, Inc.",0001507683,resolved
Randolph Co Inc,Randolph Co Inc,0001475150,resolved
Ray Dalio,Bridgewater Associates,0001350694,resolved
Redmile Group,Redmile Group,0001425738,resolved
Renaissance Technologies,Renaissance Technologies,0001037389,resolved
Resolution Capital,Resolution Capital,0001612389,resolved
Ribbit Management Company,Ribbit Management Company,0001836733,resolved
Richard Pzena,Pzena Investment Management,0001027796,resolved
Robert Bruce,Bruce Fund,,no_13f
Robert Karr,Joho Capital,0001106500,resolved
Robert Olstein,Olstein Capital Management,0000947996,resolved
Ron Baron,Baron Capital Group,0001017918,resolved
Ronald Muhlenkamp,Muhlenkamp & Company,0001133219,resolved
Route One Investment Company,Route One Investment Company,0001495650,resolved
Royce International Premier Fund,Royce Investment Partners,,no_13f
Ruane Cunniff,Ruane Cunniff & Goldfarb,0001720792,resolved
SCGE MANAGEMENT,SCGE MANAGEMENT,0001537530,resolved
SHANDA ASSET MANAGEMENT HOLDINGS,SHANDA ASSET MANAGEMENT HOLDINGS,0001622346,resolved
SHAPIRO CAPITAL MANAGEMENT,SHAPIRO CAPITAL MANAGEMENT,0001177244,resolved
SOMA EQUITY PARTNERS,SOMA EQUITY PARTNERS,0001680964,resolved
SOUND SHORE MANAGEMENT INC /CT/,SOUND SHORE MANAGEMENT INC /CT/,0000820124,resolved
SPRUCE HOUSE INVESTMENT MANAGEMENT,SPRUCE HOUSE INVESTMENT MANAGEMENT,0001543170,resolved
SRS Investment Management,SRS Investment Management,0001503174,resolved
STEPHENS GROUP ASSET MANAGEMENT,STEPHENS GROUP ASSET MANAGEMENT,0001726808,resolved
SYLEBRA CAPITAL,SYLEBRA CAPITAL,0002003074,resolved
Sachem Head Capital Management,Sachem Head Capital Management,0001582090,resolved
Sanders Capital,Sanders Capital,0001508097,resolved
Sarah Ketterer,Causeway Capital Management,,no_13f
Saratoga Research & Investment Management,Saratoga Research & Investment Management,0001477872,resolved
"Scheer, Rowlett & Associates Investment Management","Scheer, Rowlett & Associates Investment Management",0001426327,resolved
Scotia Canadian Dividend Fund,Scotia Global Asset Management,,no_13f
Scotia Canadian Equity Fund,Scotia Global Asset Management,,no_13f
Scott Black,Delphi Management,0000767684,resolved
Sessa Capital IM,Sessa Capital IM,0001595849,resolved
Seth Klarman,Baupost Group,0001061768,resolved
Silver Lake Group,Silver Lake Group,0001418226,resolved
Silver Point Capital,Silver Point Capital,0001332784,resolved
Situational Awareness,Situational Awareness,0002045724,resolved
Skye Global Management,Skye Global Management,0001675884,resolved
Smead Value Fund,Smead Capital Management,0001427008,resolved
Soroban Capital Partners,Soroban Capital Partners,0001517857,resolved
Sourcerock Group,Sourcerock Group,0001822531,resolved
Southpoint Capital Advisors,Southpoint Capital Advisors,0001319998,resolved
Spyglass Capital Management,Spyglass Capital Management,0001654344,resolved
Stairway Partners,Stairway Partners,0001454138,resolved
Standard Investments,Standard Investments,0001539436,resolved
Stanley Druckenmiller,Duquesne Family Office,0001536411,resolved
Steve Mandel,Lone Pine Capital,0001061165,resolved
Steven Cohen,Point72 Asset Management,0001603466,resolved
Steven Romick,FPA,,no_13f
